# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
860 -0.00540745 -0.0249154 -0.0324793 -0.0628022
865 -0.0369272 0.0145066 -0.0568341 -0.0792547
870 -0.0712194 0.0716837 -0.0659703 -0.065506
875 -0.10207 0.133657 -0.057742 -0.0261549
880 -0.123166 0.180419 -0.0369017 0.0203515
885 -0.129006 0.195263 -0.014591 0.0516661
890 -0.117853 0.175209 -0.00235616 0.0549993
895 -0.0939841 0.12842 -0.00513374 0.0293023
900 -0.0669604 0.065732 -0.0212031 -0.0224315
905 -0.0450737 -0.00252184 -0.0485685 -0.096164
910 -0.0318539 -0.065664 -0.0829465 -0.180464
915 -0.0283253 -0.114597 -0.113281 -0.256203
920 -0.0367539 -0.143261 -0.125434 -0.305449
925 -0.0575545 -0.14697 -0.106865 -0.311389
930 -0.0818621 -0.125068 -0.0530351 -0.259966
935 -0.0955559 -0.0842669 0.0242989 -0.155524
940 -0.0906502 -0.0371935 0.101781 -0.026063
945 -0.0685514 0.00318226 0.157783 0.0924144
950 -0.0376787 0.028392 0.181952 0.172666
955 -0.00874144 0.0352964 0.173782 0.200337
960 0.0102533 0.0241439 0.135756 0.170153
965 0.0133591 -0.00374814 0.0711305 0.0807415
970 -0.00776441 -0.0449587 -0.0125775 -0.0653006
975 -0.0597927 -0.0912403 -0.0988907 -0.249924
980 -0.137633 -0.127216 -0.163673 -0.428522
985 -0.224835 -0.133491 -0.187732 -0.546057
990 -0.304413 -0.100903 -0.169555 -0.574871
995 -0.364231 -0.0404754 -0.121973 -0.52668
1000 -0.392721 0.0268775 -0.0620271 -0.42787
1005 -0.37832 0.0854093 -0.00283631 -0.295747
1010 -0.317359 0.127285 0.0450906 -0.144983
1015 -0.217465 0.151708 0.0689365 0.00318019
1020 -0.0951499 0.166035 0.059859 0.130744
1025 0.0292212 0.180013 0.0226724 0.231906
1030 0.138796 0.198362 -0.0279007 0.309257
1035 0.22217 0.218332 -0.0798188 0.360684
1040 0.271917 0.232251 -0.127721 0.376447
1045 0.285526 0.23399 -0.168867 0.350649
1050 0.267815 0.224703 -0.19912 0.293398
1055 0.228021 0.208522 -0.2115 0.225043
1060 0.17334 0.186379 -0.200478 0.159241
1065 0.108782 0.154515 -0.167976 0.0953216
1070 0.0429986 0.10616 -0.122827 0.0263311
1075 -0.011304 0.0389928 -0.0761691 -0.0484803
1080 -0.0420798 -0.0402069 -0.0351206 -0.117407
1085 -0.0445696 -0.120997 -0.00310159 -0.168668
1090 -0.0251469 -0.192954 0.0158252 -0.202275
1095 0.00154964 -0.247589 0.0188301 -0.227209
1100 0.0235845 -0.282313 0.00741392 -0.251314
1105 0.0375494 -0.300914 -0.0134068 -0.276772
1110 0.0460818 -0.306824 -0.0369613 -0.297703
1115 0.0517509 -0.298186 -0.055459 -0.301894
1120 0.0549983 -0.272221 -0.0612514 -0.278474
1125 0.0566794 -0.230392 -0.0494149 -0.223127
1130 0.0602824 -0.177727 -0.0208345 -0.138279
1135 0.0710222 -0.122285 0.0185388 -0.0327236
1140 0.0911311 -0.0755713 0.0586643 0.0742241
1145 0.116188 -0.0451817 0.0891774 0.160184
1150 0.136302 -0.0280235 0.102897 0.211175
1155 0.142545 -0.0160516 0.0963378 0.222831
1160 0.133034 -0.00499847 0.0698783 0.197914
1165 0.109966 0.00345643 0.0270479 0.140471
1170 0.0749609 0.00515254 -0.0257802 0.0543332
1175 0.0311781 0.00144355 -0.0810207 -0.048399
1180 -0.0166264 0.00168722 -0.129622 -0.144562
1185 -0.0641432 0.014397 -0.15819 -0.207936
1190 -0.108794 0.0395073 -0.156477 -0.225764
1195 -0.147576 0.0676339 -0.127895 -0.207837
1200 -0.174322 0.0878742 -0.0832435 -0.169691
1205 -0.1839 0.096295 -0.0314407 -0.119046
1210 -0.177435 0.0963485 0.0206855 -0.0604014
1215 -0.159185 0.0939203 0.06612 0.0008551
1220 -0.130276 0.0921124 0.0976349 0.0594715
1225 -0.0915437 0.0882296 0.109041 0.105727
1230 -0.0499223 0.0770002 0.100013 0.127091
1235 -0.0167719 0.0583878 0.0817137 0.12333
1240 -0.00244513 0.0378798 0.0719968 0.107432
1245 -0.0101038 0.0204707 0.0838561 0.0942229
1250 -0.0352792 0.0079891 0.119871 0.0925811
1255 -0.0695206 -0.000273399 0.17201 0.102216
1260 -0.101256 -0.0066053 0.224664 0.116802
1265 -0.11996 -0.013968 0.262979 0.129051
1270 -0.121297 -0.0220139 0.276251 0.132941
1275 -0.106726 -0.0254043 0.255243 0.123113
